id,name,source
ETCM_XHCF_394,Dehydropipernonaline,existing
ETCM_XHCF_395,"Pipercide,Retrofractamide B",existing
ETCM_XHCF_396,Guineensine,existing
ETCM_XHCF_397,Hexadecane,existing
ETCM_XHCF_398,N-Isobutyldeca-Trans-2-Trans-4-Dienamide,existing
ETCM_XHCF_399,Laurotetanine,existing
ETCM_XHCF_400,Piperidine,existing
ETCM_XHCF_401,Piperine,existing
ETCM_XHCF_402,Piperlonguminine,existing
ETCM_XHCF_403,Piperundecalidine,existing
ETCM_XHCF_404,"Piperlonguminine,Piplartine",existing
ETCM_XHCF_405,Sesamin,existing
ETCM_XHCF_406,Sylvatine,existing
ETCM_XHCF_407,Tetrahydropiperic Acid,existing
ETCM_XHCF_408,"1-Undecylenyl-3,4-Methylenedioxybenzene",existing
ETCM_XHCF_409,Dihydroclusin,existing
ETCM_XHCF_410,"Crotepoxide,Futoxide",existing
ETCM_XHCF_411,Bicyclosesquiphellandrene,existing
ETCM_XHCF_412,Bicyclosesquiphellandrene,existing
ETCM_XHCF_413,Clusin,existing
ETCM_XHCF_414,Cubebinin,existing
ETCM_XHCF_415,Piperenol A,existing
ETCM_XHCF_416,Heterotropan,existing
ETCM_XHCF_417,Heterotropan,existing
ETCM_XHCF_418,"Isoasarone,Î‘-Asarone",existing
ETCM_XHCF_419,"Asaronaldehyde,Asarylaldehyde",existing
ETCM_XHCF_420,"(E)-Citral,3,7-Dimethylocta-2,6-Dienal,Citral-B",existing
ETCM_XHCF_421,(X{2212})-Clusin,existing
ETCM_XHCF_422,Cubeben Camphor,existing
ETCM_XHCF_423,Î‘-Cubebene,existing
ETCM_XHCF_424,Cubebin,existing
ETCM_XHCF_425,(X{2212})-Cubebinin,existing
ETCM_XHCF_426,(X{2212})-Cubebininolide,existing
ETCM_XHCF_427,Cubebinolide,existing
ETCM_XHCF_428,Dihydroanhydropodorhizol,existing
ETCM_XHCF_429,(X{2212})-Dihydroclusin,existing
ETCM_XHCF_430,Dihydrocubebin,existing
ETCM_XHCF_431,"(1Î‘,2Î’,5Î‘,8Î‘10Î‘)-1,10-Epoxy-2-Hydroxy-3,7(11)-Guaiadien-12,8-Olide",existing
ETCM_XHCF_432,Ethoxyclusin,existing
ETCM_XHCF_433,Hemiariensin,existing
ETCM_XHCF_434,"(8R,8'R)-4-Hydroxycubebinone",existing
ETCM_XHCF_435,Magnosalin,existing
ETCM_XHCF_436,(+)-Medioresinol,existing
ETCM_XHCF_437,"(8R,8'R,9'S)-5-Methoxyclusin",existing
ETCM_XHCF_438,Î‘-O-Methylcubebin,existing
ETCM_XHCF_439,"(5Î‘,8Î‘)-2-Oxo-1(10),3,7(11)-Guaiatrien-12,8-Olide",existing
ETCM_XHCF_440,Piperenol A,existing
ETCM_XHCF_441,Piperenol B,existing
ETCM_XHCF_442,(X{2212})-Thujaplicatin Trimethyl Ether,existing
ETCM_XHCF_443,"1-(2,4,5-Trimethoxyphenyl)-1,2-Propanedione",existing
ETCM_XHCF_444,(+)-Zeylenol,existing
